time_stamp,,MSFT,CSCO,TSLA,GOOG,AMZN,ADBE,AAPL,QCOM,CTXS,MMM
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:29PM EST,54.19,27.43,217.4,755.98,678.75,91.96,117.75,48.96,75.83,158.84
Nov-23, 4:30PM EST,,,,,,,,,,
Nov-23, 4:30PM EST,,,,,,,,,,
Nov-23, 4:30PM EST,,,,,,,,,,
