time_stamp,YHOO,MTCH,TSLA,GOOG,AMZN,ADBE,AAPL,QCOM,CTXS,ZNGA
10:59AM EST,33.61,14.9,217.84,762.01,680.26,91.87,118.94,49.41,75.39,2.56
11:00AM EST,33.59,14.9,217.76,761.97,680.07,91.88,118.88,49.4,75.41,2.56
11:01AM EST,33.55,14.85,218.03,761.2,679.56,91.89,118.81,49.36,75.32,2.57
11:02AM EST,33.63,14.89,217.86,761.2,679.33,91.89,118.8,49.38,75.4,2.57
11:03AM EST,33.59,14.89,217.87,761.27,679.43,91.92,118.82,49.34,75.36,2.57
11:04AM EST,33.59,14.92,218.21,761.55,679.55,91.89,118.83,49.31,75.35,2.57
11:05AM EST,33.59,14.99,218.17,761.56,679.57,91.93,118.86,49.29,75.35,2.57
11:06AM EST,33.53,14.96,217.58,761.47,678.75,91.93,118.78,49.26,75.35,2.57
11:07AM EST,33.59,14.96,217.79,761.41,679,91.9,118.81,49.21,75.39,2.57
11:08AM EST,33.58,14.98,217.91,761.34,679.14,91.97,118.78,49.22,75.37,2.57
11:10AM EST,33.56,14.99,218.04,761.51,679.27,92.01,118.81,49.21,75.35,2.57
11:11AM EST,33.6,14.97,218.18,761.81,679.68,92.02,118.76,49.24,75.41,2.57
11:12AM EST,33.61,14.99,218.21,761.26,679.42,92.01,118.73,49.26,75.37,2.57
11:12AM EST,33.59,15,218.13,761.49,679.16,92.01,118.74,49.26,75.44,2.57
11:14AM EST,33.6,15,218.01,761.07,679.39,91.97,118.63,49.24,75.4,2.57
11:15AM EST,33.62,15,218.14,760.91,679.63,92.04,118.66,49.27,75.46,2.56
11:16AM EST,33.6,14.99,218.03,760.05,679.07,92.05,118.59,49.24,75.43,2.57
11:17AM EST,33.59,14.99,217.9,760.19,679.16,92.13,118.56,49.28,75.46,2.57
11:18AM EST,33.59,15,218.23,760.53,679.46,92.2,118.53,49.28,75.56,2.57
11:19AM EST,33.57,14.92,217.93,760.07,679.02,92.16,118.52,49.27,75.56,2.57
11:20AM EST,33.6,14.9,217.83,760.26,678.97,92.16,118.46,49.22,75.6,2.57
